Lon,Lat,Day,E
25.000985,60.330802,4,0.041666666666666664
22.430934,60.098158,4,0.0
24.978351,60.390661,4,0.1
25.781292,62.119398,4,0.0
24.656113,60.137859,4,0.08333333333333333
22.183503,61.10717,4,0.0
24.758999,60.192206,4,0.023255813953488372
24.895595,60.205338,4,0.023255813953488372
24.827652,60.255164,4,0.1
24.901308,60.219945,4,0.1
25.054883,60.173362,4,0.023255813953488372
24.917846,60.183424,4,0.023255813953488372
21.364133,62.282152,4,0.0
25.093041,60.398927,4,0.041666666666666664
24.928025,60.178689,4,0.06666666666666667
24.70681,60.156524,4,0.0
25.585256,61.168005,4,0.0
24.083305,60.257064,4,0.023255813953488372
24.511692,60.091439,4,0.0
24.923479,60.178896,4,0.02564102564102564
24.958583,60.158684,4,0.04
24.792041,60.171349,4,0.04
25.027175,60.227272,4,0.08333333333333333
24.225284,60.093062,4,0.0
23.635159,60.803442,4,0.0
25.346481,63.745884,4,0.0
24.999843,61.090679,4,0.0
22.717261,60.424312,4,0.0
25.28371,60.528646,4,0.0
24.961622,60.186189,4,0.0625
24.912158,67.641114,4,0.0
24.884306,60.228865,4,0.00558659217877095
24.618222,60.358943,4,0.0
25.070468,60.467262,4,0.03571428571428571
25.497476,61.001703,3,0.0
24.80142,60.210273,3,0.015151515151515152
22.932097,59.827431,3,0.030303030303030304
22.571579,60.649243,3,0.0
24.907295,60.16387,4,0.08333333333333333
25.013282,60.375123,4,0.08333333333333333
24.959847,60.19717,4,0.02702702702702703
23.987805,60.459834,4,0.0
24.925001,60.205032,4,0.0
24.920417,60.255483,4,0.01639344262295082
24.91562,60.179419,4,0.1
24.748924,60.851701,4,0.0
24.753942,60.182714,4,0.007751937984496124
24.944124,60.156125,4,0.007751937984496124
24.411726,61.068353,4,0.0
24.738569,60.231526,4,0.03225806451612903
27.181245,63.586089,4,0.0
24.960045,60.197501,4,0.038461538461538464
25.094032,60.337286,4,0.013333333333333334
24.869158,60.219344,4,0.013333333333333334
24.681865,60.132747,4,0.00909090909090909
24.875725,60.220336,4,0.00909090909090909
23.083203,68.289007,4,0.0
25.653581,62.385694,4,0.0
25.740601,62.288559,4,0.0
24.924453,60.196277,4,0.024390243902439025
24.100827,61.08105,4,0.0
24.878836,60.229954,4,0.09090909090909091
24.744344,60.21622,4,0.029411764705882353
23.861108,61.156042,4,0.0
25.03477,60.185381,4,0.1
22.379156,62.961199,4,0.0
24.878842,60.230765,4,0.07142857142857142
25.340513,61.288804,4,0.0
27.786322,68.710349,4,0.0
25.180739,61.928572,4,0.0
25.049854,60.213016,4,0.034482758620689655
24.98914,60.276777,4,0.034482758620689655
24.943882,60.172029,4,0.006369426751592357
22.568011,60.156721,4,0.0
24.72284,60.185772,4,0.02631578947368421
24.948304,60.163332,4,0.02631578947368421
25.030532,60.202848,4,0.1
25.131689,60.222426,4,0.1
24.753248,60.376428,4,0.018867924528301886
26.015275,61.583211,4,0.0
24.832242,60.176351,4,0.037037037037037035
25.109272,60.248778,4,0.037037037037037035
25.522592,61.180616,4,0.0
24.985101,60.217455,4,0.09090909090909091
24.656494,60.176853,4,0.0136986301369863
24.891335,60.158416,4,0.0136986301369863
24.833248,60.249081,4,0.0
25.082399,60.320967,4,0.037037037037037035
25.050537,60.735558,4,0.0
23.496376,63.543605,4,0.0
24.121584,60.263271,4,0.047619047619047616
27.028805,68.905336,4,0.0
25.136272,60.20226,4,0.04
24.945914,60.245176,4,0.04
